Total_SUBs,AvgMobileRevenue,AvgFIXRevenue,TotalRevenue,ARPU,Active_Ratio,Not_Active_subscribers,Mobile_Revenue_Ratio,Inactive_Ratio,CRM_PID_Value_Segment,EffectiveSegment,CHURN
-0.4841023032820756,-1.0124554264080572,-0.06996441894440315,-1.0137389135453285,-0.42603653462023167,-1.1269545356227724,-0.016962231380349628,0.08437284514641268,1.169074997386859,0.0,4.0,0
-0.4841023032820756,-1.0124554264080572,-0.06996441894440315,-1.0137389135453285,-0.10304497840507813,-2.069266060975728,0.12457946838085027,0.08437284514641268,2.123605373679294,0.0,4.0,0
-0.8744969578941137,-1.194487271981547,1.5207065023004231,-1.0137389135453285,0.04639887596312724,0.757668515083139,-0.30004563090274944,-9.757741033510275,-0.7399857551980117,2.0,4.0,0
-0.28890497597605647,-1.0124554264080572,-0.06996441894440315,-1.0137389135453285,-0.10304497840507813,-2.6077297897488454,0.40766286790325007,0.08437284514641268,2.6690513029892573,0.0,4.0,0
-0.5817009669350851,-1.0108954320164258,-0.06996441894440315,-1.012189196760818,-0.423407023986187,-0.42022089160805554,-0.15850393114154954,0.08437284514641268,0.45317721516753245,0.0,4.0,0
-0.7768982942411042,-1.0108954320164258,-0.06996441894440315,-1.012189196760818,-0.09953896422635183,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,2.0,4.0,0
0.10148967863598171,-1.0108954320164258,-0.06996441894440315,-1.012189196760818,-0.09953896422635183,-3.0972422704516798,0.9738296669480497,0.08437284514641268,3.1649112387255873,0.0,4.0,0
-0.5817009669350851,-1.0108954320164258,-0.06996441894440315,-1.012189196760818,-0.5855601797522749,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.5817009669350851,-1.0108954320164258,-0.06996441894440315,-1.012189196760818,0.8716269632808126,-2.775999704990445,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
0.8822789878600581,-1.0108954320164258,-0.06996441894440315,-1.012189196760818,0.8716269632808126,-3.7059123944834926,2.247704964798849,0.08437284514641268,3.7814739219766813,7.0,5.0,0
-0.09370764867003738,-1.0092379379753174,-0.06996441894440315,-1.0105426226772753,-0.4212157651244831,-2.3833699027600463,0.54920456766445,0.08437284514641268,2.441782165776772,7.0,4.0,0
-0.38650363962906603,-1.0092379379753174,-0.06996441894440315,-1.0105426226772753,-0.7459603284289998,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.4841023032820756,-1.0092379379753174,-0.06996441894440315,-1.0105426226772753,-0.583368920890571,-0.1846430102698164,-0.15850393114154954,0.08437284514641268,0.21454462109442368,3.0,4.0,0
-0.6792996305880947,-1.0092379379753174,-0.06996441894440315,-1.0105426226772753,-0.4212157651244831,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.5817009669350851,-1.007580443934209,-0.06996441894440315,-1.0088960485937328,-0.4185862544904384,-0.42022089160805554,-0.15850393114154954,0.08437284514641268,0.45317721516753245,0.0,4.0,0
-0.4841023032820756,-1.007580443934209,-0.06996441894440315,-1.0088960485937328,-0.6797843108055422,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.19130631232304693,-1.0060204495425775,-0.06996441894440315,-1.0073463318092224,-0.41639499562873455,-2.1870550016448473,0.40766286790325007,0.08437284514641268,2.2429216707158486,0.0,4.0,0
-0.38650363962906603,-1.0060204495425775,-0.06996441894440315,-1.0073463318092224,-0.41639499562873455,-1.59811029829925,0.12457946838085027,0.08437284514641268,1.6463401855330766,7.0,4.0,0
-0.6792996305880947,-1.0060204495425775,-0.06996441894440315,-1.0073463318092224,-0.41639499562873455,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.6792996305880947,-1.0060204495425775,-0.06996441894440315,-1.0073463318092224,-0.41639499562873455,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.09370764867003738,-1.0043629555014693,-0.06996441894440315,-1.0056997577256797,-0.5781098996224817,-1.8598634997861823,0.40766286790325007,0.08437284514641268,1.9114875122809754,2.0,4.0,0
-0.4841023032820756,-1.0043629555014693,-0.06996441894440315,-1.0056997577256797,-0.4137654849946899,-1.1269545356227724,-0.016962231380349628,0.08437284514641268,1.169074997386859,0.0,4.0,0
-0.6792996305880947,-1.0027054614603608,-0.06996441894440315,-1.0040531836421371,-0.4111359743606452,0.757668515083139,-0.30004563090274944,0.08437284514641268,-0.7399857551980117,0.0,4.0,0
-0.09370764867003738,-1.0027054614603608,-0.06996441894440315,-1.0040531836421371,-0.6754017930821345,-1.3363570968123177,0.26612116814205017,0.08437284514641268,1.3811928587851778,0.0,4.0,0
-0.38650363962906603,-1.0027054614603608,-0.06996441894440315,-1.0040531836421371,-0.5763568925331186,-0.8128506938384539,-0.016962231380349628,0.08437284514641268,0.8508982052893804,0.0,4.0,0
